Planting 2024 Bell Road,,,,,,,,,,DVC-1/DET-36/DDI-01AB,DVC-1/DET-36/DDI-EA62,DVC-1/DET-36/DDI-EA63,DVC-1/DET-36/DDI-EA64,DVC-1/DET-37/DDI-0043,DVC-1/DET-37/DDI-0087,DVC-1/DET-37/DDI-000C,DVC-1/DET-37/DDI-019F,DVC-1/DET-37/DDI-01A1,DVC-1/DET-37/DDI-01A3,DVC-1/DET-37/DDI-EA60,DVC-1/DET-37/DDI-EA6F,DVC-1/DET-37/DDI-01AB,DVC-1/DET-37/DDI-EA62,DVC-1/DET-37/DDI-EA63,DVC-1/DET-37/DDI-EA64,DVC-1/DET-38/DDI-0043,DVC-1/DET-38/DDI-0087,DVC-1/DET-38/DDI-000C,DVC-1/DET-38/DDI-019F,DVC-1/DET-38/DDI-01A1,DVC-1/DET-38/DDI-01A3,DVC-1/DET-38/DDI-EA60,DVC-1/DET-38/DDI-EA6F,DVC-1/DET-38/DDI-01AB,DVC-1/DET-38/DDI-EA62,DVC-1/DET-38/DDI-EA63,DVC-1/DET-38/DDI-EA64,DVC-1/DET-39/DDI-0043,DVC-1/DET-39/DDI-0087,DVC-1/DET-39/DDI-000C,DVC-1/DET-39/DDI-019F,DVC-1/DET-39/DDI-01A1,DVC-1/DET-39/DDI-01A3,DVC-1/DET-39/DDI-EA60,DVC-1/DET-39/DDI-EA6F,DVC-1/DET-39/DDI-01AB,DVC-1/DET-39/DDI-EA62,DVC-1/DET-39/DDI-EA63,DVC-1/DET-39/DDI-EA64,DVC-1/DET-40/DDI-0043,DVC-1/DET-40/DDI-0087,DVC-1/DET-40/DDI-000C,DVC-1/DET-40/DDI-019F,DVC-1/DET-40/DDI-01A1,DVC-1/DET-40/DDI-01A3,DVC-1/DET-40/DDI-EA60,DVC-1/DET-40/DDI-EA6F,DVC-1/DET-40/DDI-01AB,DVC-1/DET-40/DDI-EA62,DVC-1/DET-40/DDI-EA63,DVC-1/DET-40/DDI-EA64,DVC-1/DET-41/DDI-0043,DVC-1/DET-41/DDI-0087,DVC-1/DET-41/DDI-000C,DVC-1/DET-41/DDI-019F,DVC-1/DET-41/DDI-01A1,DVC-1/DET-41/DDI-01A3,DVC-1/DET-41/DDI-EA60,DVC-1/DET-41/DDI-EA6F,DVC-1/DET-41/DDI-01AB,DVC-1/DET-41/DDI-EA62,DVC-1/DET-41/DDI-EA63,DVC-1/DET-41/DDI-EA64,DVC-1/DET-42/DDI-0043,DVC-1/DET-42/DDI-0087,DVC-1/DET-42/DDI-000C,DVC-1/DET-42/DDI-019F,DVC-1/DET-42/DDI-01A1,DVC-1/DET-42/DDI-01A3,DVC-1/DET-42/DDI-EA60,DVC-1/DET-42/DDI-EA6F,DVC-1/DET-42/DDI-01AB,DVC-1/DET-42/DDI-EA62,DVC-1/DET-42/DDI-EA63,DVC-1/DET-42/DDI-EA64,DVC-1/DET-43/DDI-0043,DVC-1/DET-43/DDI-0087,DVC-1/DET-43/DDI-000C,DVC-1/DET-43/DDI-019F,DVC-1/DET-43/DDI-01A1,DVC-1/DET-43/DDI-01A3,DVC-1/DET-43/DDI-EA60,DVC-1/DET-43/DDI-EA6F,DVC-1/DET-43/DDI-01AB,DVC-1/DET-43/DDI-EA62,DVC-1/DET-43/DDI-EA63,DVC-1/DET-43/DDI-EA64,DVC-1/DET-3/DDI-0086,DVC-1/DET-4/DDI-0086,DVC-1/DET-9/DDI-0086,DVC-1/DET-10/DDI-0086,DVC-1/DET-11/DDI-0086,DVC-1/DET-12/DDI-0086,DVC-1/DET-13/DDI-0086,DVC-1/DET-14/DDI-0086,DVC-1/DET-15/DDI-0086,DVC-1/DET-16/DDI-0086,DVC-1/DET-17/DDI-0086,DVC-1/DET-18/DDI-0086,DVC-1/DET-19/DDI-0086,DVC-1/DET-20/DDI-0086,DVC-1/DET-21/DDI-0086,DVC-1/DET-22/DDI-0086,DVC-1/DET-23/DDI-0086,DVC-1/DET-24/DDI-0086,DVC-1/DET-25/DDI-0086,DVC-1/DET-26/DDI-0086,DVC-1/DET-27/DDI-0086,DVC-1/DET-5/DDI-0087,DVC-1/DET-6/DDI-0087,DVC-1/DET-9/DDI-0087,DVC-1/DET-12/DDI-0087,DVC-1/DET-13/DDI-0087,DVC-1/DET-14/DDI-0087,DVC-1/DET-15/DDI-0087,DVC-1/DET-16/DDI-0087,DVC-1/DET-17/DDI-0087,DVC-1/DET-18/DDI-0087,DVC-1/DET-19/DDI-0087,DVC-1/DET-28/DDI-0087,DVC-1/DET-29/DDI-0087,DVC-1/DET-30/DDI-0087,DVC-1/DET-31/DDI-0087,DVC-1/DET-32/DDI-0087,DVC-1/DET-33/DDI-0087,DVC-1/DET-34/DDI-0087,DVC-1/DET-35/DDI-0087,DVC-1/DET-44/DDI-0087,DVC-1/DET-45/DDI-0087,DVC-1/DET-46/DDI-0087,DVC-1/DET-47/DDI-0087,DVC-1/DET-48/DDI-0087,DVC-1/DET-49/DDI-0087,DVC-1/DET-50/DDI-0087,DVC-1/DET-51/DDI-0087,DVC-1/DET-3/DDI-008F,DVC-1/DET-2/DDI-009D,DVC-2000000/DET-2000002/DDI-F23E,DVC-1/DET-4/DDI-016F,DVC-2000000/DET-2000002/DDI-0046,DVC-2000000/DET-2000001/DDI-0086,DVC-2000000/DET-2000001/DDI-0087,DVC-2000000/DET-2000000/DDI-008D,DVC-2000000/DET-2000001/DDI-009D,DVC-1/DET-3/DDI-0052,DVC-1/DET-3/DDI-0074,DVC-1/DET-4/DDI-0050,DVC-1/DET-4/DDI-0074,DVC-1/DET-1/DDI-0077,DVC-1/DET-3/DDI-0077,DVC-1/DET-4/DDI-0077,DVC-2000000/DET-2000002/DDI-F243,DVC-2000000/DET-2000002/DDI-F231,DVC-2000000/DET-2000002/DDI-0096,
TLG00001,,,,,,,,,,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Trip Computer Data,Case IH Planter,Trip Computer Data,Trip Computer Data,Trip Computer Data,Trip Computer Data,Trip Computer Data,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Case IH Planter,Trip Computer Data,Trip Computer Data,Trip Computer Data,
,,,,,,,,,,Seed Unit/Row 9,Seed Unit/Row 9,Seed Unit/Row 9,Seed Unit/Row 9,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 10,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 11,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 12,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 13,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 14,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 15,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Unit/Row 16,Seed Boom,Liquid Boom,Liquid Section 1,Liquid Section 2,Liquid Section 3,Seed Section/Row 1,Seed Section/Row 2,Seed Section/Row 3,Seed Section/Row 4,Seed Section/Row 5,Seed Section/Row 6,Seed Section/Row 7,Seed Section/Row 8,Seed Section/Row 9,Seed Section/Row 10,Seed Section/Row 11,Seed Section/Row 12,Seed Section/Row 13,Seed Section/Row 14,Seed Section/Row 15,Seed Section/Row 16,Seed Sub Boom 1,Seed Sub Boom 2,Liquid Section 1,Seed Section/Row 1,Seed Section/Row 2,Seed Section/Row 3,Seed Section/Row 4,Seed Section/Row 5,Seed Section/Row 6,Seed Section/Row 7,Seed Section/Row 8,Seed Unit/Row 1,Seed Unit/Row 2,Seed Unit/Row 3,Seed Unit/Row 4,Seed Unit/Row 5,Seed Unit/Row 6,Seed Unit/Row 7,Seed Unit/Row 8,Liquid Unit/Row 1,Liquid Unit/Row 2,Liquid Unit/Row 3,Liquid Unit/Row 4,Liquid Unit/Row 5,Liquid Unit/Row 6,Liquid Unit/Row 7,Liquid Unit/Row 8,Seed Boom,Connector,Trip Computer Task Totals,Liquid Boom,Trip Computer Task Totals,Trip Computer Connector Geometry,Trip Computer Connector Geometry,Trip Computer Lifetime Totals,Trip Computer Connector Geometry,Seed Boom,Seed Boom,Liquid Boom,Liquid Boom,2000 Series Planter,Seed Boom,Liquid Boom,Trip Computer Task Totals,Trip Computer Task Totals,Trip Computer Task Totals,
Time & Date,Latitude,Longitude,Altitude (m),PDOP,HDOP,Satellites,GPS Time,GPS Date (yyyy-mm-dd),Count,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Actual Working Width,Device Element Offset Y,Actual Cnt/Area App Rate,Actual Seed Singulation %,Actual Seed Skip Percentage,Actual Seed Multi Percentage,Actual Seed Release Index(SRI),Net Applied Force,Gauge Wheel Force,Actual Grnd Contact Percentage,Actual Good Ride Percentage,Act Good Spacing Percentage,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset X,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Device Element Offset Y,Time latency actual,Connector Type,Engine Power,Override Section State (1-16),Maximum Working Width,X-Offset,Y-Offset,Actual Work State,Connector Type,Application total count,Running total area,Application total volume,Running total area,Effective Time,Effective Time,Effective Time,Wheel Slip,FE - Distance,FE - Area,
 2024-04-16 13:27:00.169,40.6545661,-89.3591892,235.875,0.9,1.7,36, 18:27:00.000Z, 2024-04-16,155,604,1000000,770000,979600,762,1143,7475,850600,86000,76400,264900,0,604,1000000,700000,936100,762,1905,7381,980000,16600,10000,223500,0,613,1000000,740000,966700,762,2667,7587,937000,16600,46600,244200,-88,489,1000000,810000,973000,762,3429,7203,963500,33100,10000,221400,-489,480,1000000,790000,961900,762,4191,7127,966800,39800,9900,217600,177,569,1000000,920000,951300,762,4953,4991,660000,340000,0,221600,355,551,1000000,570000,980500,762,5715,7389,986800,10000,3300,224800,711,604,960000,960000,949600,-730,-850,-850,-1170,-850,-730,-730,-730,-730,-730,-730,-1050,-1050,-1050,-1050,-730,-730,-730,-730,-730,-730,-4572,-1524,-3810,-5715,-4953,-4191,-3429,-2667,-1905,-1143,-381,-5715,-4953,-4191,-3429,-2667,-1905,-1143,-381,-5715,-4953,-4191,-3429,-2667,-1905,-1143,-381,-200,2,67,-1,12192,0,0,1,2,788000,106381,0,0,3213,3213,0,0,253439,323,
 2024-04-16 13:27:01.172,40.6545952,-89.3591888,235.834,0.9,1.7,36, 18:27:01.050Z, 2024-04-16,65,604,880000,880000,969600,,,7481,867600,66200,66200,264800,266,604,,540000,946200,,,7388,990100,,0,224000,222,613,840000,620000,956300,,,7577,926700,,,245100,-133,489,880000,670000,962400,,,7234,,,,222300,-578,480,,,951700,,,7130,956700,,,218200,,569,960000,870000,,,,4981,647900,352100,,221800,311,551,920000,530000,,,,7430,,,,225500,133,604,1000000,860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,796000,107517,0,0,3243,3243,0,,278413,294,
 2024-04-16 13:27:02.199,40.6546245,-89.3591888,235.789,0.9,1.7,36, 18:27:02.100Z, 2024-04-16,39,,920000,770000,,,,7387,,,53300,265100,489,,920000,350000,,,,7393,,,,224000,756,,,680000,,,,7643,,26600,,246600,,,1000000,510000,952200,,,7208,,,,222600,,,920000,690000,941500,,,7140,,,,218100,622,,720000,740000,,,,4984,,,,223000,667,,,550000,,,,7431,,,,226200,266,,920000,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264591,309,
 2024-04-16 13:27:03.200,40.6546539,-89.3591888,235.741,0.9,1.7,36, 18:27:03.000Z, 2024-04-16,43,,1000000,930000,,,,7357,880500,,39800,264200,222,,1000000,720000,960400,,,7391,980100,,,224900,444,,920000,440000,,,,7633,,,,246700,,,,740000,,,,7213,,,,223600,,,1000000,890000,,,,7139,,,,217700,489,,840000,550000,,,,4989,662300,337700,,222600,800,,,750000,,,,7424,,,,227200,-44,,1000000,830000,959800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,294098,278,
 2024-04-16 13:27:04.215,40.6546816,-89.3591889,235.707,0.9,1.7,36, 18:27:04.150Z, 2024-04-16,45,538,,,,,,7260,893400,,,264200,88,556,,540000,,,,7397,,,,225300,756,449,960000,840000,,,,7650,,16600,,246100,,551,,940000,,,,7257,,,,224000,-533,560,920000,660000,,,,7152,,,,217500,266,671,1000000,860000,,,,4970,,,,222300,622,680,1000000,1000000,,,,7413,,,,226900,-266,653,,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,-1,,,,,,,,,,,,,,284426,288,
 2024-04-16 13:27:05.217,40.6547094,-89.3591888,235.671,0.9,1.7,36, 18:27:05.150Z, 2024-04-16,34,,,970000,,,,7108,,82700,23100,263400,-88,,,950000,,,,7378,,,,224600,1023,,1000000,930000,,,,7625,,,,246000,-355,,,930000,,,,7265,,,,223400,-667,,1000000,670000,,,,7174,,,,217700,,,,970000,,,,4896,,,,222300,,,,790000,,,,7388,,,,226700,-311,,,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,262224,312,
 2024-04-16 13:27:06.227,40.6547358,-89.3591889,235.659,0.9,1.7,36, 18:27:06.100Z, 2024-04-16,45,538,,980000,,,,7072,,100000,10000,262100,-177,556,920000,910000,,,,7387,,,,224100,1112,449,880000,1000000,,,,7637,940100,,,245500,,551,,1000000,,,,7225,,,,223200,-622,560,,1000000,952300,,,7186,,,,216500,489,671,,1000000,,,,4869,,,,222300,489,680,920000,910000,969600,,,7392,,,,226300,,653,,770000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259409,316,
